Bölüm,Kategori,Seri,Model,Kaynak Dosya,Özellikler
Kompanzasyon,Şönt Reaktörler,ENT.SRS3,ENT.SRS3 400/20,ent_srs_sont_reaktorleri.csv,"Faz: Üç Fazlı | kVAr: 20 | L (mH): 25,5 | Irms (A): 28,87 | İşletme Gerilimi: 400V 50Hz | SVC Özel: Yok | Boyut No: 12 | A (mm): 420 | B (mm): 166 | C (mm): 355 | D (mm): 350 | E (mm): 142 | F1 (mm): 20 | F2 (mm): 13 | G (mm): 355 | H (mm): 260 | Ağırlık (kg): 70,5"
Kompanzasyon,Şönt Reaktörler,ENT.SRS3,ENT.SRS3 400/25,ent_srs_sont_reaktorleri.csv,"Faz: Üç Fazlı | kVAr: 25 | L (mH): 20,4 | Irms (A): 36,09 | İşletme Gerilimi: 400V 50Hz | SVC Özel: Yok | Boyut No: 13 | A (mm): 480 | B (mm): 166 | C (mm): 405 | D (mm): 400 | E (mm): 136 | F1 (mm): 20 | F2 (mm): 13 | G (mm): 405 | H (mm): 260 | Ağırlık (kg): 94"
Kompanzasyon,Şönt Reaktörler,ENT.SRS3,ENT.SRS3 400/40,ent_srs_sont_reaktorleri.csv,"Faz: Üç Fazlı | kVAr: 40 | L (mH): 12,75 | Irms (A): 57,74 | İşletme Gerilimi: 400V 50Hz | SVC Özel: Yok | Boyut No: 14 | A (mm): 480 | B (mm): 206 | C (mm): 405 | D (mm): 400 | E (mm): 176 | F1 (mm): 20 | F2 (mm): 13 | G (mm): 405 | H (mm): 300 | Ağırlık (kg): 127"
Kompanzasyon,NH Bıçaklı Sigortalar,NH,NH00,nh_bicakli_sigortalar.csv,A (mm): 78 | C (mm): 49 | D (mm): 29 | E (mm): 15 | H (mm): 59 | Kullanım Notu: AYR.160/AYR.250 yük ayırıcılar ile birlikte kullanılır
Kompanzasyon,NH Bıçaklı Sigortalar,NH,NH1,nh_bicakli_sigortalar.csv,A (mm): 135 | C (mm): 68 | D (mm): 48 | E (mm): 20 | H (mm): 60 | Kullanım Notu: AYR.160/AYR.250 yük ayırıcılar ile birlikte kullanılır
Kompanzasyon,Reaktif Güç Kontrol Röleleri,RG-T,RG-6T,reaktif_guc_kontrol_roleleri.csv,Kademe: 6 | Boyut (mm): 144x144 | Şönt Reaktör Sürme: Yok | SVC: Yok | OG (Orta Gerilim): Yok | 1 Akım Trf. / 1 Faz: Var | 3 Akım Trf. / 3 Faz: Yok | 1 Fazlı Kondansatör: Yok | 3 Fazlı Kondansatör: Var | Toplam/Görünür/Reaktif Güç Ölçümü: Yok | Aktif ve Reaktif Enerji Ölçümü: Yok | THD Koruma: Yok | 1-19. Gerilim/Akım Harmonikleri: Yok | 1-31. Gerilim/Akım Harmonikleri: Yok | 1-51. Gerilim/Akım Harmonikleri: Yok | İki Ayrı Cosφ Ayarı: Yok | Otomatik Setup: Yok | Şifre Koruma: Yok | RS-485 Haberleşme: Yok | İç Isı Kontrolü: Yok | Kontak Çıkışı: Yok
Kompanzasyon,Reaktif Güç Kontrol Röleleri,RG-T,RG-8T,reaktif_guc_kontrol_roleleri.csv,Kademe: 8 | Boyut (mm): 144x144 | Şönt Reaktör Sürme: Yok | SVC: Yok | OG (Orta Gerilim): Yok | 1 Akım Trf. / 1 Faz: Var | 3 Akım Trf. / 3 Faz: Yok | 1 Fazlı Kondansatör: Yok | 3 Fazlı Kondansatör: Var | Toplam/Görünür/Reaktif Güç Ölçümü: Yok | Aktif ve Reaktif Enerji Ölçümü: Yok | THD Koruma: Yok | 1-19. Gerilim/Akım Harmonikleri: Yok | 1-31. Gerilim/Akım Harmonikleri: Yok | 1-51. Gerilim/Akım Harmonikleri: Yok | İki Ayrı Cosφ Ayarı: Yok | Otomatik Setup: Yok | Şifre Koruma: Yok | RS-485 Haberleşme: Yok | İç Isı Kontrolü: Yok | Kontak Çıkışı: Yok
Kompanzasyon,Reaktif Güç Kontrol Röleleri,RG-T,RG-12T,reaktif_guc_kontrol_roleleri.csv,Kademe: 12 | Boyut (mm): 144x144 | Şönt Reaktör Sürme: Yok | SVC: Yok | OG (Orta Gerilim): Yok | 1 Akım Trf. / 1 Faz: Var | 3 Akım Trf. / 3 Faz: Yok | 1 Fazlı Kondansatör: Yok | 3 Fazlı Kondansatör: Var | Toplam/Görünür/Reaktif Güç Ölçümü: Yok | Aktif ve Reaktif Enerji Ölçümü: Yok | THD Koruma: Yok | 1-19. Gerilim/Akım Harmonikleri: Yok | 1-31. Gerilim/Akım Harmonikleri: Yok | 1-51. Gerilim/Akım Harmonikleri: Yok | İki Ayrı Cosφ Ayarı: Yok | Otomatik Setup: Yok | Şifre Koruma: Yok | RS-485 Haberleşme: Yok | İç Isı Kontrolü: Yok | Kontak Çıkışı: Yok
Kompanzasyon,Reaktif Güç Kontrol Röleleri,RG3,RG3-12e,reaktif_guc_kontrol_roleleri.csv,Kademe: 12 | Boyut (mm): 144x144 | Şönt Reaktör Sürme: Yok | SVC: Yok | OG (Orta Gerilim): Yok | 1 Akım Trf. / 1 Faz: Yok | 3 Akım Trf. / 3 Faz: Var | 1 Fazlı Kondansatör: Var | 3 Fazlı Kondansatör: Var | Toplam/Görünür/Reaktif Güç Ölçümü: Yok | Aktif ve Reaktif Enerji Ölçümü: Yok | THD Koruma: Var | 1-19. Gerilim/Akım Harmonikleri: Yok | 1-31. Gerilim/Akım Harmonikleri: Yok | 1-51. Gerilim/Akım Harmonikleri: Yok | İki Ayrı Cosφ Ayarı: Yok | Otomatik Setup: Var | Şifre Koruma: Var | RS-485 Haberleşme: Yok | İç Isı Kontrolü: Yok | Kontak Çıkışı: Yok
Kompanzasyon,Reaktif Güç Kontrol Röleleri,RG3,RG3-12C,reaktif_guc_kontrol_roleleri.csv,Kademe: 12 | Boyut (mm): 144x144 | Şönt Reaktör Sürme: Yok | SVC: Yok | OG (Orta Gerilim): Yok | 1 Akım Trf. / 1 Faz: Yok | 3 Akım Trf. / 3 Faz: Var | 1 Fazlı Kondansatör: Var | 3 Fazlı Kondansatör: Var | Toplam/Görünür/Reaktif Güç Ölçümü: Var | Aktif ve Reaktif Enerji Ölçümü: Var | THD Koruma: Var | 1-19. Gerilim/Akım Harmonikleri: Var | 1-31. Gerilim/Akım Harmonikleri: Yok | 1-51. Gerilim/Akım Harmonikleri: Yok | İki Ayrı Cosφ Ayarı: Var | Otomatik Setup: Var | Şifre Koruma: Var | RS-485 Haberleşme: Yok | İç Isı Kontrolü: Opsiyonel | Kontak Çıkışı: Var
